timestamps,open,high,low,close,tick_volume
2019-01-03 17:00:00,108.022,108.025,107.738,107.836,6526.0
2019-01-03 18:00:00,107.834,107.888,107.718,107.731,5342.0
2019-01-03 19:00:00,107.73,107.773,107.389,107.518,7235.0
2019-01-03 20:00:00,107.516,107.671,107.461,107.666,1704.0
2019-01-03 21:00:00,107.631,107.703,107.627,107.67,2613.0
2019-01-03 22:00:00,107.67,107.967,107.635,107.845,5723.0
2019-01-03 23:00:00,107.845,107.932,107.511,107.515,8868.0
2019-01-04 00:00:00,107.515,107.946,107.508,107.835,6416.0
2019-01-04 01:00:00,107.836,108.192,107.801,108.108,5217.0
2019-01-04 02:00:00,108.108,108.44,108.105,108.325,4474.0
2019-01-04 03:00:00,108.325,108.43,108.307,108.329,2984.0
2019-01-04 04:00:00,108.329,108.371,108.206,108.25,2441.0
2019-01-04 05:00:00,108.25,108.28,108.061,108.183,2947.0
2019-01-04 06:00:00,108.182,108.229,107.817,107.846,5782.0
2019-01-04 07:00:00,107.846,108.039,107.82,108.033,7832.0
2019-01-04 08:00:00,108.033,108.037,107.86,108.025,5003.0
2019-01-04 09:00:00,108.025,108.059,107.925,107.962,3786.0
2019-01-04 10:00:00,107.962,108.013,107.939,107.984,3402.0
2019-01-04 11:00:00,107.985,108.05,107.955,108.001,3821.0
2019-01-04 12:00:00,108.001,108.449,107.993,108.297,9186.0
2019-01-04 13:00:00,108.296,108.585,108.271,108.432,9665.0
2019-01-04 14:00:00,108.475,108.477,108.101,108.106,12313.0
2019-01-04 15:00:00,108.105,108.346,108.059,108.284,8949.0
2019-01-04 16:00:00,108.285,108.569,108.277,108.445,4958.0
2019-01-04 17:00:00,108.445,108.583,108.348,108.429,4559.0
2019-01-04 18:00:00,108.429,108.554,108.414,108.51,5663.0
2019-01-04 19:00:00,108.509,108.518,108.423,108.456,4653.0
2019-01-04 20:00:00,108.455,108.514,108.429,108.504,900.0
2019-01-06 21:00:00,108.489,108.556,108.418,108.466,2082.0
2019-01-06 22:00:00,108.466,108.617,108.349,108.545,3817.0
2019-01-06 23:00:00,108.546,108.6,108.454,108.472,5118.0
2019-01-07 00:00:00,108.472,108.535,108.316,108.364,3904.0
2019-01-07 01:00:00,108.365,108.389,108.231,108.231,2622.0
2019-01-07 02:00:00,108.232,108.265,108.063,108.133,3289.0
2019-01-07 03:00:00,108.133,108.298,108.014,108.298,3171.0
2019-01-07 04:00:00,108.298,108.309,108.144,108.187,2422.0
2019-01-07 05:00:00,108.188,108.256,108.157,108.205,1550.0
2019-01-07 06:00:00,108.205,108.269,108.086,108.182,5082.0
2019-01-07 07:00:00,108.182,108.259,108.063,108.192,4224.0
2019-01-07 08:00:00,108.194,108.224,108.116,108.193,2727.0
2019-01-07 09:00:00,108.193,108.358,108.141,108.346,2781.0
2019-01-07 10:00:00,108.347,108.4,108.316,108.351,2503.0
2019-01-07 11:00:00,108.351,108.351,108.225,108.257,3337.0
2019-01-07 12:00:00,108.257,108.403,108.207,108.351,3630.0
2019-01-07 13:00:00,108.351,108.371,108.211,108.307,5249.0
2019-01-07 14:00:00,108.289,108.54,108.206,108.434,8104.0
2019-01-07 15:00:00,108.432,108.632,108.42,108.62,4811.0
2019-01-07 16:00:00,108.619,108.643,108.555,108.601,3522.0
2019-01-07 17:00:00,108.601,108.673,108.512,108.564,3486.0
2019-01-07 18:00:00,108.564,108.628,108.536,108.592,2861.0
2019-01-07 19:00:00,108.592,108.743,108.587,108.704,3225.0
2019-01-07 20:00:00,108.703,108.739,108.659,108.706,957.0
2019-01-07 21:00:00,108.706,108.706,108.612,108.652,1429.0
2019-01-07 22:00:00,108.652,108.671,108.591,108.623,1962.0
2019-01-07 23:00:00,108.623,108.767,108.608,108.731,3432.0
2019-01-08 00:00:00,108.732,108.745,108.508,108.556,4281.0
2019-01-08 01:00:00,108.555,108.747,108.524,108.707,3676.0
2019-01-08 02:00:00,108.708,108.914,108.613,108.874,2894.0
2019-01-08 03:00:00,108.874,108.993,108.872,108.983,2427.0
2019-01-08 04:00:00,108.983,108.992,108.776,108.782,2389.0
2019-01-08 05:00:00,108.78,108.886,108.732,108.88,2236.0
2019-01-08 06:00:00,108.878,109.083,108.822,108.975,4938.0
2019-01-08 07:00:00,108.975,109.014,108.876,108.908,5001.0
2019-01-08 08:00:00,108.908,108.943,108.8,108.869,3907.0
2019-01-08 09:00:00,108.869,108.898,108.671,108.714,4039.0
2019-01-08 10:00:00,108.714,108.786,108.682,108.721,3929.0
2019-01-08 11:00:00,108.721,108.764,108.597,108.762,3712.0
2019-01-08 12:00:00,108.761,108.877,108.7,108.868,5750.0
2019-01-08 13:00:00,108.868,108.958,108.81,108.857,5194.0
2019-01-08 14:00:00,108.857,108.891,108.592,108.613,7093.0
2019-01-08 15:00:00,108.614,108.666,108.436,108.579,6535.0
2019-01-08 16:00:00,108.578,108.64,108.493,108.584,4252.0
2019-01-08 17:00:00,108.584,108.671,108.557,108.64,3627.0
2019-01-08 18:00:00,108.64,108.68,108.617,108.645,2414.0
2019-01-08 19:00:00,108.644,108.794,108.618,108.759,2215.0
2019-01-08 20:00:00,108.758,108.83,108.712,108.731,846.0
2019-01-08 21:00:00,108.729,108.852,108.697,108.786,3006.0
2019-01-08 22:00:00,108.786,108.829,108.745,108.751,1768.0
2019-01-08 23:00:00,108.754,108.844,108.691,108.711,3692.0
2019-01-09 00:00:00,108.712,108.802,108.68,108.789,3533.0
2019-01-09 01:00:00,108.789,109.0,108.776,108.906,3773.0
2019-01-09 02:00:00,108.906,108.944,108.83,108.897,2654.0
2019-01-09 03:00:00,108.897,108.944,108.834,108.863,2636.0
2019-01-09 04:00:00,108.863,108.923,108.818,108.853,2206.0
2019-01-09 05:00:00,108.853,108.892,108.815,108.834,1984.0
2019-01-09 06:00:00,108.833,108.988,108.816,108.912,3537.0
2019-01-09 07:00:00,108.913,108.929,108.789,108.871,3564.0
2019-01-09 08:00:00,108.871,108.964,108.869,108.906,2352.0
2019-01-09 09:00:00,108.906,108.943,108.877,108.886,2112.0
2019-01-09 10:00:00,108.886,108.926,108.839,108.912,1975.0
2019-01-09 11:00:00,108.912,108.94,108.864,108.881,2453.0
2019-01-09 12:00:00,108.881,108.884,108.723,108.748,3082.0
2019-01-09 13:00:00,108.748,108.753,108.416,108.446,6458.0
2019-01-09 14:00:00,108.446,108.515,108.049,108.186,8901.0
2019-01-09 15:00:00,108.186,108.416,108.172,108.39,5456.0
2019-01-09 16:00:00,108.39,108.398,108.266,108.315,2952.0
2019-01-09 17:00:00,108.316,108.326,108.212,108.266,2725.0
2019-01-09 18:00:00,108.266,108.365,108.031,108.278,7848.0
2019-01-09 19:00:00,108.277,108.315,107.971,108.004,4866.0
2019-01-09 20:00:00,108.004,108.166,108.0,108.15,1607.0
2019-01-09 21:00:00,108.148,108.168,108.101,108.155,2112.0
2019-01-09 22:00:00,108.154,108.23,108.149,108.184,2734.0
2019-01-09 23:00:00,108.184,108.257,107.983,108.012,5805.0
2019-01-10 00:00:00,108.012,108.022,107.845,107.972,6671.0
2019-01-10 01:00:00,107.971,108.0,107.866,107.974,3830.0
2019-01-10 02:00:00,107.972,107.993,107.858,107.872,3559.0
2019-01-10 03:00:00,107.873,107.98,107.818,107.974,2597.0
2019-01-10 04:00:00,107.973,107.984,107.873,107.908,2247.0
2019-01-10 05:00:00,107.907,107.951,107.768,107.822,2743.0
2019-01-10 06:00:00,107.825,107.935,107.82,107.92,3383.0
2019-01-10 07:00:00,107.919,108.05,107.822,108.041,4008.0
2019-01-10 08:00:00,108.042,108.146,108.034,108.092,4147.0
2019-01-10 09:00:00,108.092,108.227,108.09,108.131,2758.0
2019-01-10 10:00:00,108.131,108.131,107.962,108.029,2550.0
2019-01-10 11:00:00,108.029,108.121,108.029,108.078,2698.0
2019-01-10 12:00:00,108.078,108.197,108.052,108.192,3012.0
2019-01-10 13:00:00,108.191,108.222,107.918,108.007,4585.0
2019-01-10 14:00:00,108.007,108.224,107.988,108.201,5270.0
2019-01-10 15:00:00,108.201,108.34,108.19,108.29,4258.0
2019-01-10 16:00:00,108.29,108.434,108.225,108.392,4465.0
2019-01-10 17:00:00,108.392,108.442,108.201,108.343,5599.0
2019-01-10 18:00:00,108.341,108.458,108.341,108.416,3763.0
2019-01-10 19:00:00,108.416,108.492,108.403,108.479,2103.0
2019-01-10 20:00:00,108.479,108.517,108.418,108.423,1159.0
2019-01-10 21:00:00,108.423,108.44,108.352,108.435,1577.0
2019-01-10 22:00:00,108.435,108.457,108.281,108.282,2895.0
2019-01-10 23:00:00,108.285,108.47,108.27,108.404,4183.0
2019-01-11 00:00:00,108.405,108.424,108.316,108.389,4112.0
2019-01-11 01:00:00,108.398,108.402,108.25,108.308,3132.0
2019-01-11 02:00:00,108.308,108.353,108.28,108.296,2278.0
2019-01-11 03:00:00,108.296,108.332,108.227,108.316,1898.0
2019-01-11 04:00:00,108.316,108.348,108.264,108.299,2263.0
2019-01-11 05:00:00,108.299,108.408,108.264,108.37,1642.0
2019-01-11 06:00:00,108.371,108.428,108.32,108.324,2829.0
2019-01-11 07:00:00,108.324,108.334,108.228,108.286,4921.0
2019-01-11 08:00:00,108.287,108.35,108.257,108.33,2993.0
2019-01-11 09:00:00,108.331,108.348,108.244,108.276,3202.0
2019-01-11 10:00:00,108.277,108.331,108.24,108.305,3205.0
2019-01-11 11:00:00,108.305,108.353,108.249,108.322,3076.0
2019-01-11 12:00:00,108.322,108.359,108.14,108.199,4730.0
2019-01-11 13:00:00,108.199,108.594,108.182,108.438,9045.0
2019-01-11 14:00:00,108.438,108.498,108.317,108.4,5502.0
2019-01-11 15:00:00,108.4,108.439,108.299,108.346,4330.0
2019-01-11 16:00:00,108.346,108.419,108.33,108.402,2534.0
2019-01-11 17:00:00,108.402,108.489,108.372,108.468,1824.0
2019-01-11 18:00:00,108.468,108.502,108.441,108.489,1410.0
2019-01-11 19:00:00,108.489,108.544,108.486,108.543,1632.0
2019-01-11 20:00:00,108.543,108.571,108.495,108.539,852.0
2019-01-13 21:00:00,108.506,108.545,108.471,108.498,981.0
2019-01-13 22:00:00,108.5,108.502,108.392,108.447,1416.0
2019-01-13 23:00:00,108.449,108.477,108.42,108.435,889.0
2019-01-14 00:00:00,108.435,108.442,108.164,108.199,2207.0
2019-01-14 01:00:00,108.201,108.255,108.163,108.225,1528.0
2019-01-14 02:00:00,108.225,108.23,108.056,108.148,1831.0
2019-01-14 03:00:00,108.148,108.151,108.097,108.111,753.0
2019-01-14 04:00:00,108.111,108.124,108.077,108.103,1643.0
2019-01-14 05:00:00,108.103,108.14,108.039,108.128,1492.0
2019-01-14 06:00:00,108.128,108.178,108.05,108.086,2937.0
2019-01-14 07:00:00,108.087,108.218,108.083,108.194,2933.0
2019-01-14 08:00:00,108.194,108.195,108.098,108.14,4205.0
2019-01-14 09:00:00,108.139,108.159,108.069,108.152,3687.0
2019-01-14 10:00:00,108.152,108.153,107.982,108.089,3803.0
2019-01-14 11:00:00,108.089,108.155,108.037,108.096,3026.0
2019-01-14 12:00:00,108.096,108.236,108.044,108.192,3021.0
2019-01-14 13:00:00,108.192,108.218,108.072,108.168,4113.0
2019-01-14 14:00:00,108.17,108.352,108.168,108.317,4565.0
2019-01-14 15:00:00,108.317,108.348,108.205,108.217,3919.0
2019-01-14 16:00:00,108.217,108.241,108.153,108.18,2111.0
2019-01-14 17:00:00,108.18,108.257,108.166,108.21,1325.0
2019-01-14 18:00:00,108.21,108.237,108.154,108.197,2118.0
2019-01-14 19:00:00,108.196,108.237,108.173,108.194,1591.0
2019-01-14 20:00:00,108.198,108.198,108.144,108.154,687.0
2019-01-14 21:00:00,108.159,108.165,108.127,108.15,1742.0
2019-01-14 22:00:00,108.151,108.253,108.13,108.233,2230.0
2019-01-14 23:00:00,108.234,108.386,108.192,108.327,3821.0
2019-01-15 00:00:00,108.327,108.465,108.32,108.406,3498.0
2019-01-15 01:00:00,108.406,108.466,108.393,108.458,2848.0
2019-01-15 02:00:00,108.458,108.554,108.457,108.549,2270.0
2019-01-15 03:00:00,108.549,108.572,108.509,108.552,1794.0
2019-01-15 04:00:00,108.554,108.748,108.541,108.71,2642.0
2019-01-15 05:00:00,108.711,108.733,108.619,108.649,1492.0
2019-01-15 06:00:00,108.65,108.698,108.594,108.645,2591.0
2019-01-15 07:00:00,108.646,108.695,108.569,108.578,3876.0
2019-01-15 08:00:00,108.578,108.626,108.511,108.559,4491.0
2019-01-15 09:00:00,108.559,108.647,108.475,108.499,3587.0
2019-01-15 10:00:00,108.498,108.544,108.339,108.375,3987.0
2019-01-15 11:00:00,108.375,108.504,108.33,108.503,4850.0
2019-01-15 12:00:00,108.503,108.579,108.325,108.356,5185.0
2019-01-15 13:00:00,108.356,108.521,108.346,108.478,5205.0
2019-01-15 14:00:00,108.478,108.586,108.396,108.51,6521.0
2019-01-15 15:00:00,108.509,108.71,108.494,108.709,5325.0
2019-01-15 16:00:00,108.709,108.763,108.594,108.617,3427.0
2019-01-15 17:00:00,108.618,108.673,108.542,108.561,2190.0
2019-01-15 18:00:00,108.561,108.609,108.366,108.566,6081.0
2019-01-15 19:00:00,108.567,108.674,108.483,108.663,3627.0
2019-01-15 20:00:00,108.658,108.731,108.647,108.663,1099.0
2019-01-15 21:00:00,108.686,108.708,108.61,108.627,2235.0
2019-01-15 22:00:00,108.627,108.698,108.627,108.648,2169.0
2019-01-15 23:00:00,108.649,108.666,108.441,108.447,3723.0
2019-01-16 00:00:00,108.447,108.472,108.366,108.422,3172.0
2019-01-16 01:00:00,108.422,108.53,108.382,108.495,2230.0
2019-01-16 02:00:00,108.494,108.541,108.468,108.501,1663.0
2019-01-16 03:00:00,108.5,108.535,108.462,108.473,1527.0
2019-01-16 04:00:00,108.473,108.514,108.464,108.473,1705.0
2019-01-16 05:00:00,108.473,108.509,108.424,108.503,1524.0
2019-01-16 06:00:00,108.504,108.63,108.479,108.615,2684.0
2019-01-16 07:00:00,108.615,108.636,108.528,108.533,3288.0
2019-01-16 08:00:00,108.533,108.633,108.526,108.625,2845.0
2019-01-16 09:00:00,108.625,108.778,108.613,108.771,2892.0
2019-01-16 10:00:00,108.771,108.879,108.755,108.842,2963.0
2019-01-16 11:00:00,108.842,108.855,108.757,108.848,3029.0
2019-01-16 12:00:00,108.848,108.85,108.752,108.802,2624.0
2019-01-16 13:00:00,108.803,108.876,108.761,108.846,3392.0
2019-01-16 14:00:00,108.846,108.909,108.671,108.851,4996.0
2019-01-16 15:00:00,108.852,108.91,108.779,108.839,4257.0
2019-01-16 16:00:00,108.839,108.992,108.791,108.963,2470.0
2019-01-16 17:00:00,108.964,108.982,108.826,108.857,1671.0
2019-01-16 18:00:00,108.856,108.968,108.834,108.913,3114.0
2019-01-16 19:00:00,108.915,109.192,108.899,109.027,4749.0
2019-01-16 20:00:00,109.022,109.181,109.004,109.088,2009.0
2019-01-16 21:00:00,109.086,109.132,109.014,109.111,3099.0
2019-01-16 22:00:00,109.111,109.114,108.999,109.035,2167.0
2019-01-16 23:00:00,109.035,109.069,108.887,108.906,3563.0
2019-01-17 00:00:00,108.906,108.946,108.83,108.897,3813.0
2019-01-17 01:00:00,108.897,109.011,108.856,109.011,2529.0
2019-01-17 02:00:00,109.011,109.02,108.964,108.979,1629.0
2019-01-17 03:00:00,108.979,109.059,108.977,109.007,1599.0
2019-01-17 04:00:00,109.007,109.018,108.94,108.941,1309.0
2019-01-17 05:00:00,108.941,108.942,108.819,108.82,1381.0
2019-01-17 06:00:00,108.821,108.919,108.733,108.776,3837.0
2019-01-17 07:00:00,108.776,108.825,108.698,108.812,4633.0
2019-01-17 08:00:00,108.812,108.844,108.701,108.732,3540.0
2019-01-17 09:00:00,108.733,108.814,108.732,108.814,3141.0
2019-01-17 10:00:00,108.814,108.874,108.76,108.874,3151.0
2019-01-17 11:00:00,108.874,108.885,108.717,108.736,2550.0
2019-01-17 12:00:00,108.736,108.894,108.682,108.843,3808.0
2019-01-17 13:00:00,108.843,108.974,108.788,108.944,4983.0
2019-01-17 14:00:00,108.942,109.037,108.911,109.005,5154.0
2019-01-17 15:00:00,109.005,109.098,108.951,109.009,3861.0
2019-01-17 16:00:00,109.009,109.063,108.962,108.973,1849.0
2019-01-17 17:00:00,108.972,109.063,108.926,109.008,2242.0
2019-01-17 18:00:00,109.008,109.394,108.946,109.232,6656.0
2019-01-17 19:00:00,109.234,109.291,109.118,109.231,6283.0
2019-01-17 20:00:00,109.231,109.258,109.162,109.241,1646.0
2019-01-17 21:00:00,109.239,109.275,109.188,109.188,1413.0
2019-01-17 22:00:00,109.188,109.206,109.052,109.14,3183.0
2019-01-17 23:00:00,109.139,109.355,109.126,109.287,3765.0
2019-01-18 00:00:00,109.286,109.394,109.236,109.353,3927.0
2019-01-18 01:00:00,109.353,109.368,109.265,109.337,2885.0
2019-01-18 02:00:00,109.337,109.369,109.315,109.364,1841.0
2019-01-18 03:00:00,109.364,109.434,109.326,109.375,1684.0
2019-01-18 04:00:00,109.375,109.435,109.355,109.357,1721.0
2019-01-18 05:00:00,109.356,109.394,109.301,109.386,1965.0
2019-01-18 06:00:00,109.386,109.457,109.356,109.361,2312.0
2019-01-18 07:00:00,109.361,109.491,109.343,109.479,3135.0
2019-01-18 08:00:00,109.479,109.591,109.457,109.564,2626.0
2019-01-18 09:00:00,109.564,109.565,109.374,109.387,2975.0
2019-01-18 10:00:00,109.387,109.516,109.38,109.502,2544.0
2019-01-18 11:00:00,109.502,109.533,109.337,109.372,3082.0
2019-01-18 12:00:00,109.373,109.447,109.337,109.422,3207.0
2019-01-18 13:00:00,109.422,109.543,109.41,109.518,5512.0
2019-01-18 14:00:00,109.483,109.702,109.396,109.68,8135.0
2019-01-18 15:00:00,109.681,109.794,109.641,109.794,4199.0
2019-01-18 16:00:00,109.792,109.857,109.746,109.836,2373.0
2019-01-18 17:00:00,109.838,109.887,109.711,109.759,2413.0
2019-01-18 18:00:00,109.76,109.784,109.648,109.77,2632.0
2019-01-18 19:00:00,109.772,109.792,109.722,109.741,2659.0
2019-01-18 20:00:00,109.741,109.767,109.692,109.767,1527.0
2019-01-20 21:00:00,109.672,109.757,109.672,109.727,5957.0
2019-01-20 22:00:00,109.727,109.755,109.653,109.677,1496.0
2019-01-20 23:00:00,109.676,109.694,109.584,109.624,2291.0
2019-01-21 00:00:00,109.624,109.627,109.47,109.517,3335.0
2019-01-21 01:00:00,109.518,109.717,109.511,109.699,2406.0
2019-01-21 02:00:00,109.699,109.7,109.619,109.629,1233.0
2019-01-21 03:00:00,109.629,109.638,109.558,109.585,1228.0
2019-01-21 04:00:00,109.585,109.595,109.526,109.549,1518.0
2019-01-21 05:00:00,109.548,109.572,109.532,109.553,1228.0
2019-01-21 06:00:00,109.553,109.582,109.507,109.577,1958.0
2019-01-21 07:00:00,109.577,109.662,109.57,109.622,2064.0
2019-01-21 08:00:00,109.622,109.676,109.579,109.669,1764.0
2019-01-21 09:00:00,109.67,109.673,109.588,109.603,1285.0
2019-01-21 10:00:00,109.602,109.617,109.559,109.596,1198.0
2019-01-21 11:00:00,109.597,109.652,109.591,109.639,1385.0
2019-01-21 12:00:00,109.638,109.683,109.635,109.667,2403.0
2019-01-21 13:00:00,109.667,109.687,109.624,109.653,1929.0
2019-01-21 14:00:00,109.653,109.67,109.599,109.618,1732.0
2019-01-21 15:00:00,109.618,109.653,109.589,109.61,2356.0
2019-01-21 16:00:00,109.61,109.655,109.61,109.633,1076.0
2019-01-21 17:00:00,109.633,109.663,109.616,109.64,2554.0
2019-01-21 18:00:00,109.64,109.651,109.633,109.639,1248.0
2019-01-21 19:00:00,109.639,109.684,109.634,109.679,1111.0
2019-01-21 20:00:00,109.679,109.68,109.648,109.655,3107.0
2019-01-21 21:00:00,109.652,109.661,109.596,109.63,5099.0
2019-01-21 22:00:00,109.63,109.678,109.612,109.669,2388.0
2019-01-21 23:00:00,109.669,109.691,109.568,109.611,2920.0
2019-01-22 00:00:00,109.611,109.637,109.548,109.626,2511.0
2019-01-22 01:00:00,109.626,109.64,109.492,109.513,1714.0
2019-01-22 02:00:00,109.513,109.542,109.419,109.442,1956.0
2019-01-22 03:00:00,109.444,109.469,109.406,109.465,1583.0
2019-01-22 04:00:00,109.465,109.472,109.381,109.428,1949.0
2019-01-22 05:00:00,109.427,109.472,109.397,109.455,1704.0
2019-01-22 06:00:00,109.455,109.464,109.35,109.422,2962.0
2019-01-22 07:00:00,109.423,109.444,109.32,109.413,4318.0
2019-01-22 08:00:00,109.413,109.474,109.411,109.462,2691.0
2019-01-22 09:00:00,109.463,109.502,109.426,109.447,2152.0
2019-01-22 10:00:00,109.447,109.453,109.376,109.442,1882.0
2019-01-22 11:00:00,109.441,109.467,109.409,109.421,1992.0
2019-01-22 12:00:00,109.422,109.472,109.368,109.44,2875.0
2019-01-22 13:00:00,109.441,109.449,109.367,109.405,3808.0
2019-01-22 14:00:00,109.403,109.46,109.28,109.427,5203.0
2019-01-22 15:00:00,109.427,109.464,109.338,109.341,2761.0
2019-01-22 16:00:00,109.341,109.373,109.28,109.32,2913.0
2019-01-22 17:00:00,109.32,109.321,109.142,109.239,4988.0
2019-01-22 18:00:00,109.238,109.294,109.207,109.289,3365.0
2019-01-22 19:00:00,109.291,109.41,109.242,109.409,4911.0
2019-01-22 20:00:00,109.411,109.44,109.337,109.365,1450.0
2019-01-22 21:00:00,109.364,109.381,109.317,109.33,3193.0
2019-01-22 22:00:00,109.329,109.375,109.317,109.356,2346.0
2019-01-22 23:00:00,109.353,109.474,109.351,109.424,2757.0
2019-01-23 00:00:00,109.424,109.686,109.424,109.656,3954.0
2019-01-23 01:00:00,109.656,109.685,109.612,109.629,2252.0
2019-01-23 02:00:00,109.629,109.794,109.621,109.697,2983.0
2019-01-23 03:00:00,109.697,109.723,109.626,109.691,1769.0
2019-01-23 04:00:00,109.691,109.701,109.587,109.621,2071.0
2019-01-23 05:00:00,109.621,109.689,109.621,109.652,1478.0
2019-01-23 06:00:00,109.652,109.718,109.607,109.623,2869.0
2019-01-23 07:00:00,109.622,109.64,109.527,109.557,3388.0
2019-01-23 08:00:00,109.557,109.679,109.555,109.662,2703.0
2019-01-23 09:00:00,109.662,109.708,109.627,109.628,2403.0
2019-01-23 10:00:00,109.628,109.677,109.584,109.65,2659.0
2019-01-23 11:00:00,109.651,109.675,109.615,109.641,2099.0
2019-01-23 12:00:00,109.642,109.865,109.636,109.84,3430.0
2019-01-23 13:00:00,109.84,109.995,109.816,109.873,4192.0
2019-01-23 14:00:00,109.877,109.887,109.597,109.636,5707.0
2019-01-23 15:00:00,109.636,109.659,109.391,109.441,5716.0
2019-01-23 16:00:00,109.442,109.499,109.39,109.458,4399.0
2019-01-23 17:00:00,109.458,109.603,109.436,109.557,2959.0
2019-01-23 18:00:00,109.558,109.623,109.537,109.586,2171.0
2019-01-23 19:00:00,109.586,109.616,109.561,109.607,1932.0
2019-01-23 20:00:00,109.609,109.614,109.577,109.603,1111.0
2019-01-23 21:00:00,109.609,109.609,109.502,109.551,4403.0
2019-01-23 22:00:00,109.552,109.583,109.488,109.496,2397.0
2019-01-23 23:00:00,109.496,109.638,109.454,109.454,3969.0
2019-01-24 00:00:00,109.454,109.578,109.447,109.481,3635.0
2019-01-24 01:00:00,109.481,109.565,109.431,109.524,2996.0
2019-01-24 02:00:00,109.525,109.536,109.482,109.526,1813.0
2019-01-24 03:00:00,109.526,109.561,109.493,109.547,1628.0
2019-01-24 04:00:00,109.547,109.62,109.547,109.611,2049.0
2019-01-24 05:00:00,109.611,109.739,109.609,109.707,2485.0
2019-01-24 06:00:00,109.708,109.725,109.656,109.706,1876.0
2019-01-24 07:00:00,109.706,109.712,109.593,109.66,4626.0
2019-01-24 08:00:00,109.66,109.745,109.646,109.744,2370.0
2019-01-24 09:00:00,109.744,109.794,109.715,109.774,2017.0
2019-01-24 10:00:00,109.774,109.796,109.716,109.718,2349.0
2019-01-24 11:00:00,109.719,109.779,109.702,109.752,2460.0
2019-01-24 12:00:00,109.752,109.768,109.537,109.555,7748.0
2019-01-24 13:00:00,109.556,109.609,109.417,109.463,6871.0
2019-01-24 14:00:00,109.463,109.625,109.416,109.573,5420.0
2019-01-24 15:00:00,109.573,109.734,109.51,109.724,5126.0
2019-01-24 16:00:00,109.723,109.736,109.64,109.67,3444.0
2019-01-24 17:00:00,109.67,109.702,109.574,109.652,3319.0
2019-01-24 18:00:00,109.651,109.69,109.629,109.684,2573.0
2019-01-24 19:00:00,109.684,109.686,109.541,109.601,2903.0
2019-01-24 20:00:00,109.602,109.64,109.565,109.631,1035.0
2019-01-24 21:00:00,109.632,109.64,109.538,109.562,2065.0
2019-01-24 22:00:00,109.562,109.6,109.514,109.592,3815.0
2019-01-24 23:00:00,109.592,109.715,109.579,109.689,3641.0
2019-01-25 00:00:00,109.689,109.79,109.657,109.737,3730.0
2019-01-25 01:00:00,109.737,109.781,109.695,109.699,2272.0
2019-01-25 02:00:00,109.699,109.868,109.663,109.835,2963.0
2019-01-25 03:00:00,109.835,109.839,109.744,109.744,1688.0
2019-01-25 04:00:00,109.744,109.794,109.728,109.792,1532.0
